id,Geographic Area Name,Total population,RACE!!One race,RACE!!Two or more races,RACE!!One race!!White,RACE!!One race!!Black or African American,RACE!!One race!!American Indian and Alaska Native,RACE!!One race!!Asian,RACE!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!One race!!Some other race,RACE!!Two or more races,HISPANIC OR LATINO AND RACE,Total housing units,"Citizen, 18 and over population","Citizen, 18 and over population!!Male","Citizen, 18 and over population!!Female",Male,SEX AND AGE!!Total population!!Female,Under 5 years,5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over
0400000US01,Alabama,4864680,4773061,91619,3317453,1293186,25576,64609,2182,70055,91619,4864680,2244462,3671110,1744440,1926670,2355799,2508881,292125,302174,312093,323914,334416,632660,599382,641069,334011,309004,463057,237339,83436,38.9,1098793,3894696,3765887,3562514,963974,783832
0400000US02,Alaska,738516,676055,62461,478834,24129,106660,46556,8849,11027,62461,738516,315386,530385,279868,250517,385579,352937,54240,52628,49721,47451,56749,118519,92679,93344,50904,43853,53366,18815,6247,34,186138,571528,552378,524006,102823,78428
0400000US04,Arizona,6946685,6693802,252883,5364141,305259,309580,228887,14112,471823,252883,6946685,2970935,4812764,2369281,2443483,3453439,3493246,436102,452832,467267,468197,488355,945811,855220,845263,420490,408828,674235,355536,128549,37.4,1633783,5498826,5312902,5019072,1401390,1158320
0400000US05,Arkansas,2990671,2914819,75852,2302874,460970,20037,43988,7969,78981,75852,2990671,1362040,2195870,1060008,1135862,1468412,1522259,190311,197784,197795,201068,204406,389419,368584,376480,195360,181928,284024,147254,56258,37.9,705943,2364108,2284728,2159029,594654,487536
0400000US06,California,39148760,37266533,1882227,23529068,2267875,296475,5604339,153366,5415410,1882227,39148760,14084824,25232634,12373879,12858755,19453769,19694991,2480679,2499319,2556669,2583578,2809630,5904012,5185165,5155853,2465921,2192477,3061431,1552456,701570,36.3,9073655,31109195,30075105,28455836,6571629,5315457
0400000US08,Colorado,5531141,5333813,197328,4655584,227938,54483,172695,8296,214817,197328,5531141,2352202,3979325,1983013,1996312,2780831,2750310,335199,355399,359334,354630,377987,849157,749277,715354,363001,331165,455831,201744,83063,36.6,1259819,4409148,4271322,4052952,931643,740638
0400000US09,Connecticut,3581504,3468074,113430,2734880,378262,9698,158817,1173,185244,113430,3581504,1512305,2600979,1243781,1357198,1747131,1834373,184983,201006,224135,247182,245490,439848,427023,522138,266170,235949,327414,170979,89187,40.8,752625,2924591,2828879,2672647,722394,587580
0400000US10,Delaware,949495,923486,26009,654905,209892,3455,36723,477,18034,26009,949495,428251,704108,334936,369172,459570,489925,54854,55166,58676,59798,61022,126358,110238,126453,68175,61626,99666,49025,18438,40.2,203426,769793,746069,707381,203286,167129
0400000US11,District of Columbia,684498,664355,20143,280469,321317,1993,26718,340,33518,20143,684498,311545,511190,237685,273505,324881,359617,44692,33728,27563,37417,54117,159716,99176,76460,36453,33464,46920,23836,10956,33.9,121737,573275,562761,529478,101225,81712
0400000US12,Florida,20598139,20055799,542340,15529098,3316376,58118,559168,12887,580152,542340,20598139,9348689,14724113,7079197,7644916,10071925,10526214,1117420,1131739,1176979,1201106,1284168,2665948,2493759,2748837,1399430,1314377,2247594,1280841,535941,41.9,4148552,16932309,16449587,15699432,4834602,4064376
0400000US13,Georgia,10297484,10045036,252448,6079976,3239300,33484,402501,6095,283680,252448,10297484,4241003,7254693,3454381,3800312,5012229,5285255,655810,697132,718143,721206,718646,1419784,1372551,1407255,656064,578604,835224,383686,133379,36.5,2501295,8082220,7796189,7352197,1682816,1352289
0400000US15,Hawaii,1422029,1080273,341756,355612,26266,2987,536842,143274,15292,341756,1422029,539053,1016556,515668,500888,713772,708257,90388,85114,83667,77674,96819,205135,177944,176625,92789,89919,139078,68144,38733,38.9,306501,1147445,1115528,1066961,298263,245955
0400000US16,Idaho,1687809,1641217,46592,1527262,11536,22790,23758,2761,53110,46592,1687809,711731,1192742,592051,600691,845564,842245,114164,123365,126996,120633,113385,220206,209204,199059,105507,101489,153600,72416,27785,36.1,439176,1298537,1248633,1178376,313302,253801
0400000US17,Illinois,12821497,12503084,318413,9189185,1824125,31864,690822,4582,762506,318413,12821497,5347268,9055187,4366368,4688819,6295915,6525582,776957,802346,836956,847578,875317,1779301,1652053,1706539,868764,780783,1079625,561726,253552,37.9,2926561,10234674,9894936,9382507,2342824,1894903
0400000US18,Indiana,6637426,6475131,162295,5548277,619472,14925,144991,2818,144648,162295,6637426,2870670,4876218,2365930,2510288,3271068,3366358,418299,437254,446006,458348,477704,856932,821714,864555,448932,411619,577695,291994,126374,37.6,1574293,5243518,5063133,4776538,1235406,996063
